Designator,Mid X,Mid Y,Layer,Rotation
C1,100.9626,-110.2313,Bottom,0.0000
C10,91.3463,-113.4662,Bottom,90.0000
C11,83.5669,-112.5064,Bottom,0.0000
C12,52.3798,-119.7692,Bottom,90.0000
C13,85.5066,-127.5857,Bottom,180.0000
C14,85.5032,-125.5532,Bottom,180.0000
C15,85.4959,-123.5299,Bottom,180.0000
C16,85.5000,-121.5000,Bottom,180.0000
C17,85.4919,-135.6766,Bottom,180.0000
C18,85.5220,-131.6062,Bottom,180.0000
C19,85.5087,-129.6042,Bottom,180.0000
C2,88.0000,-90.0000,Bottom,-90.0000
C20,85.5172,-119.4902,Bottom,180.0000
C21,74.2227,-82.8748,Bottom,180.0000
C22,85.4749,-133.6173,Bottom,180.0000
C23,74.5000,-89.1375,Bottom,-90.0000
C24,50.0317,-133.0669,Bottom,90.0000
C25,85.3685,-88.6000,Bottom,0.0000
C26,82.8818,-88.7179,Bottom,-90.0000
C27,52.0000,-114.5000,Bottom,90.0000
C28,56.9625,-87.2000,Bottom,180.0000
C29,66.1188,-90.7863,Bottom,90.0000
C3,81.0000,-89.3437,Bottom,90.0000
C30,60.4000,-120.5000,Bottom,180.0000
C31,54.5000,-114.5000,Bottom,180.0000
C32,53.5000,-89.0100,Bottom,0.0000
C33,53.5000,-87.0000,Bottom,0.0000
C36,62.5000,-86.7000,Bottom,0.0000
C37,62.3000,-88.2000,Bottom,0.0000
C4,82.1376,-84.0987,Bottom,90.0000
C5,53.5000,-85.0000,Bottom,0.0000
C6,74.1808,-84.5996,Bottom,180.0000
C7,87.0814,-80.2442,Bottom,90.0000
C8,68.2202,-89.5000,Bottom,90.0000
C9,46.7594,-122.7875,Bottom,90.0000
CR1,94.6316,-105.3668,Bottom,-90.0000
CR2,89.0000,-59.0000,Bottom,90.0000
CR3,90.0000,-55.9000,Bottom,180.0000
D2,102.8139,-118.0631,Bottom,-90.0000
D3,93.4460,-58.8000,Bottom,180.0000
D4,82.0669,-116.0064,Bottom,90.0000
D5,85.0669,-116.0064,Bottom,90.0000
D6,79.7669,-121.8064,Bottom,0.0000
D8,94.5342,-55.3257,Bottom,180.0000
F1,94.4070,-94.2719,Bottom,90.0000
J1,96.4750,-95.0250,Bottom,-90.0000
J2,73.4875,-125.7500,Bottom,180.0000
J3,54.2375,-126.0000,Bottom,180.0000
J4,92.5000,-126.0000,Bottom,180.0000
J5,90.6218,-69.1910,Bottom,60.0000
J6,88.7424,-47.9696,Bottom,0.0000
J7,64.0750,-77.0650,Bottom,0.0000
L1,88.2847,-113.0868,Bottom,90.0000
L2,49.4795,-119.1273,Bottom,180.0000
Q1,86.4000,-71.9000,Bottom,-30.0000
Q3,95.0233,-79.7960,Bottom,-90.0000
Q4,88.5669,-117.0064,Bottom,180.0000
Q5,49.8627,-129.6028,Bottom,0.0000
Q6,47.0228,-126.5850,Bottom,180.0000
Q7,81.5268,-77.1996,Bottom,-90.0000
Q8,90.5425,-80.3726,Bottom,0.0000
R1,100.9626,-108.7313,Bottom,0.0000
R10,69.7429,-89.4169,Bottom,90.0000
R11,101.4303,-78.9912,Bottom,180.0000
R12,71.2429,-89.4169,Bottom,-90.0000
R13,73.0000,-112.0000,Bottom,180.0000
R14,89.0669,-122.5064,Bottom,180.0000
R15,89.0669,-120.5064,Bottom,180.0000
R16,85.3594,-80.2000,Bottom,90.0000
R17,80.5000,-86.7000,Bottom,180.0000
R18,48.3367,-140.6565,Bottom,90.0000
R19,46.8721,-140.6736,Bottom,90.0000
R2,100.8950,-105.7650,Bottom,0.0000
R20,45.3000,-140.6736,Bottom,90.0000
R21,64.6000,-90.7875,Bottom,90.0000
R22,63.1000,-90.7875,Bottom,90.0000
R23,61.6000,-90.7875,Bottom,90.0000
R24,60.1000,-90.7875,Bottom,90.0000
R25,58.6147,-90.7875,Bottom,90.0000
R26,57.1000,-90.7875,Bottom,90.0000
R27,91.5649,-77.8432,Bottom,0.0000
R28,53.6000,-83.5000,Bottom,180.0000
R29,73.0875,-101.5000,Bottom,180.0000
R3,100.9316,-107.2628,Bottom,0.0000
R30,73.0875,-103.0000,Bottom,180.0000
R31,73.0542,-104.4968,Bottom,180.0000
R32,73.0875,-106.0000,Bottom,180.0000
R33,73.0875,-107.5000,Bottom,180.0000
R34,73.0875,-109.0000,Bottom,180.0000
R35,46.5189,-80.4822,Bottom,180.0000
R36,46.4939,-78.9805,Bottom,180.0000
R37,49.4384,-124.1159,Bottom,180.0000
R38,84.9875,-84.1000,Bottom,0.0000
R39,55.5000,-118.0875,Bottom,90.0000
R4,50.5000,-114.5183,Bottom,-90.0000
R40,81.5268,-73.4996,Bottom,0.0000
R41,54.0000,-118.0875,Bottom,-90.0000
R42,91.5145,-120.9255,Bottom,-90.0000
R44,91.5145,-117.1618,Bottom,-90.0000
R46,98.5000,-126.0875,Bottom,90.0000
R47,62.8000,-116.5000,Bottom,0.0000
R48,65.5000,-114.9000,Bottom,180.0000
R49,47.0000,-132.4698,Bottom,0.0000
R5,74.5000,-114.5000,Bottom,180.0000
R50,51.5231,-131.9706,Bottom,-90.0000
R51,84.8037,-82.6457,Bottom,180.0000
R52,97.0015,-126.0875,Bottom,90.0000
R53,77.9983,-79.3302,Bottom,0.0000
R54,78.0113,-77.7916,Bottom,0.0000
R55,78.0113,-76.2676,Bottom,0.0000
R56,91.7393,-76.3224,Bottom,180.0000
R57,95.0711,-76.3072,Bottom,0.0000
R59,103.0000,-113.5875,Bottom,90.0000
R6,89.2353,-97.0754,Bottom,0.0000
R60,50.7203,-139.7351,Bottom,180.0000
R61,101.4125,-80.5000,Bottom,180.0000
R62,101.2000,-66.4000,Bottom,180.0000
R63,95.5125,-111.6000,Bottom,180.0000
R64,72.0000,-114.5000,Bottom,90.0000
R65,72.9931,-96.4938,Bottom,0.0000
R67,78.4125,-90.5000,Bottom,180.0000
R68,73.0000,-95.0000,Bottom,180.0000
R69,73.0000,-110.5000,Bottom,0.0000
R7,53.5000,-91.0100,Bottom,0.0000
R70,76.0000,-89.1375,Bottom,-90.0000
R71,78.4125,-88.5000,Bottom,180.0000
R73,49.8726,-78.9555,Bottom,180.0000
R75,49.9884,-137.0044,Bottom,-90.0000
R76,74.5000,-70.0000,Bottom,180.0000
R77,77.9983,-80.8561,Bottom,180.0000
R78,81.6268,-81.0996,Bottom,180.0000
R8,78.0113,-74.7592,Bottom,0.0000
R9,78.0268,-73.2496,Bottom,0.0000
SW1,101.4425,-84.2500,Bottom,-90.0000
SW10,101.7050,-52.2500,Bottom,-90.0000
SW11,96.9550,-115.5229,Bottom,-90.0000
SW2,95.2375,-146.4500,Bottom,180.0000
SW3,83.2375,-146.4500,Bottom,180.0000
SW4,101.4875,-70.2500,Bottom,-90.0000
SW5,46.9875,-89.2500,Bottom,90.0000
SW6,79.4791,-118.5332,Bottom,180.0000
SW7,46.9875,-75.2500,Bottom,90.0000
SW8,70.2375,-146.4500,Bottom,180.0000
SW9,58.2375,-146.4500,Bottom,180.0000
U1,74.5000,-73.5000,Bottom,90.0000
